,row_id,x,y,accuracy,time,place_id,hour,weekday,month,year,day
600,600,1.2214,2.7023,17,65380,6683426742,9.66666666667,3.40277777778,1.51342592593,0.124391171994,45.4027777778
957,957,1.1832,2.6891,58,785470,6683426742,11.1666666667,6.46527777778,6.18217592593,1.49442541857,180.465277778
4345,4345,1.1935,2.655,11,400082,6889790653,20.0333333333,4.83472222222,9.26115740741,0.761191019787,277.834722222
4735,4735,1.1452,2.6074,49,514983,6822359752,15.05,0.627083333333,11.9209027778,0.979800228311,357.627083333
5580,5580,1.0089,2.7287,19,732410,1527921905,14.8333333333,4.61805555556,4.95393518519,1.39347412481,143.618055556
6090,6090,1.114,2.6262,11,145507,4000153867,1.11666666667,3.04652777778,3.36821759259,0.276839802131,101.046527778
6234,6234,1.1449,2.5003,34,316377,3741484405,16.95,2.70625,7.32354166667,0.601934931507,219.70625
6350,6350,1.0844,2.7436,65,36816,5963693798,13.6,4.56666666667,0.852222222222,0.0700456621005,25.5666666667
7468,7468,1.0058,2.5096,66,746766,9076695703,14.1,0.5875,5.28625,1.42078767123,153.5875
8478,8478,1.2015,2.5187,72,690722,3992589015,16.0333333333,3.66805555556,3.98893518519,1.31415905632,114.668055556
9357,9357,1.1916,2.7323,170,319999,5163401947,5.31666666667,5.22152777778,7.40738425926,0.608826103501,222.221527778
12125,12125,1.1388,2.5029,69,532507,7536975002,19.1166666667,5.79652777778,0.326550925926,1.01314117199,4.79652777778
14937,14937,1.1426,2.7441,11,445598,6780386626,10.6333333333,1.44305555556,10.3147685185,0.847789193303,309.443055556
20660,20660,1.2387,2.5959,65,616095,3683087833,20.25,0.84375,2.26145833333,1.17217465753,62.84375
20930,20930,1.0519,2.5208,67,163908,6399991653,19.8,1.825,3.79416666667,0.311849315068,113.825
21731,21731,1.2171,2.7263,99,550339,8048985799,4.31666666667,4.17986111111,0.739328703704,1.04706811263,17.1798611111
26584,26584,1.1235,2.6282,63,316089,5606572086,12.15,2.50625,7.316875,0.601386986301,219.50625
27937,27937,1.1287,2.6332,588,618714,5606572086,15.9,2.6625,2.32208333333,1.17715753425,64.6625
30798,30798,1.0422,2.6474,49,75510,1435128522,10.5,3.4375,1.74791666667,0.143664383562,52.4375
33184,33184,1.0128,2.5865,75,487899,1913341282,19.65,2.81875,11.2939583333,0.928270547945,338.81875
33877,33877,1.1437,2.6972,972,140281,6683426742,10.0166666667,6.41736111111,3.24724537037,0.266896879756,97.4173611111
34340,34340,1.1513,2.5824,176,309820,2355236719,3.66666666667,5.15277777778,7.17175925926,0.589459665145,215.152777778
37405,37405,1.2122,2.7106,10,315301,2946102544,23.0166666667,1.95902777778,7.29863425926,0.599887747336,218.959027778
38968,38968,1.1496,2.6298,166,636960,9598377925,8.0,1.33333333333,2.74444444444,1.21187214612,77.3333333333
41861,41861,1.0886,2.684,10,11616,3312463746,1.6,1.06666666667,0.268888888889,0.022100456621,8.06666666667
42135,42135,1.0498,2.684,5,95801,3312463746,12.6833333333,3.52847222222,2.21761574074,0.18226978691,66.5284722222
42729,42729,1.0694,2.5829,10,57817,1812226671,3.61666666667,5.15069444444,1.33835648148,0.110001902588,40.1506944444
44283,44283,1.2384,2.7398,60,629289,8048985799,0.15,3.00625,2.566875,1.19727739726,72.00625
44549,44549,1.2077,2.537,76,522601,3992589015,22.0166666667,5.91736111111,0.0972453703704,0.99429414003,362.917361111
44694,44694,1.038,2.5315,152,657007,5035268417,6.11666666667,1.25486111111,3.20849537037,1.25001331811,91.2548611111
45880,45880,1.1256,2.6468,54,91641,5606572086,15.35,0.639583333333,2.12131944444,0.174355022831,63.6395833333
47291,47291,1.1058,2.6628,34,466723,6237569496,2.71666666667,2.11319444444,10.8037731481,0.887981354642,324.113194444
48280,48280,1.1531,2.6622,165,242227,5270522918,5.11666666667,0.213194444444,5.60710648148,0.460858066971,168.213194444
49695,49695,1.1262,2.541,91,163940,4932578245,20.3333333333,1.84722222222,3.79490740741,0.311910197869,113.847222222
50254,50254,1.1992,2.5035,5,767819,5392071818,4.98333333333,1.20763888889,5.77358796296,1.46084284627,168.207638889
50271,50271,1.0577,2.7274,34,530732,6424972551,13.5333333333,4.56388888889,0.285462962963,1.00976407915,3.56388888889
50497,50497,1.0442,2.5933,58,273204,3322359335,17.4,0.725,6.32416666667,0.519794520548,189.725
59725,59725,1.0254,2.5926,65,674407,1097200869,8.11666666667,6.33819444444,3.61127314815,1.28311834094,103.338194444
62781,62781,1.0159,2.5692,79,436175,1097200869,21.5833333333,1.89930555556,10.0966435185,0.829861111111,302.899305556
63005,63005,1.1669,2.5182,73,393253,7064318248,2.21666666667,0.0923611111111,9.1030787037,0.748198249619,273.092361111
63742,63742,1.0054,2.7381,70,759783,6424972551,15.05,2.62708333333,5.58756944444,1.44555365297,162.627083333
64508,64508,1.1216,2.5392,268,635661,7803770431,10.35,0.43125,2.714375,1.20940068493,76.43125
66583,66583,1.1317,2.6425,178,326118,5606572086,11.3,2.47083333333,7.54902777778,0.62046803653,226.470833333
